Ray cluster started. Available resources: {'node:172.23.48.184': 1.0, 'memory': 9414347981.0, 'object_store_memory': 4034720563.0, 'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'CPU': 12.0, 'GPU': 1.0}
Waiting for actors to initialize and run one episode...
[36m(DataActor pid=102538)[0m (DataActor pid=102538) Initializing on CPU...
[36m(DataActor pid=102538)[0m (DataActor pid=102538) Setup complete.
[36m(LearnerActor pid=102534)[0m (Learner pid=102534) Initializing on GPU...
[36m(LearnerActor pid=102534)[0m (Learner pid=102534) Setup complete.
[36m(DataActor pid=102539)[0m (DataActor pid=102539) Initializing on CPU...[32m [repeated 5x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
[36m(DataActor pid=102531)[0m (DataActor pid=102531) Setup complete.[32m [repeated 5x across cluster][0m

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Starting main training loop.
Episodes: 13500 | Avg Return: -489.29 | Avg Loss: 124.0999 | Time: 6.97s
Episodes: 13600 | Avg Return: -556.14 | Avg Loss: 124.0876 | Time: 6.99s
Episodes: 13700 | Avg Return: -517.23 | Avg Loss: 123.7320 | Time: 7.02s
Episodes: 13800 | Avg Return: -543.30 | Avg Loss: 123.4819 | Time: 7.18s
Episodes: 13900 | Avg Return: -555.95 | Avg Loss: 123.1117 | Time: 6.93s
Episodes: 14000 | Avg Return: -495.75 | Avg Loss: 123.0444 | Time: 7.09s
Episodes: 14100 | Avg Return: -456.95 | Avg Loss: 123.4904 | Time: 7.10s
Episodes: 14200 | Avg Return: -536.89 | Avg Loss: 123.2258 | Time: 7.40s
Episodes: 14300 | Avg Return: -583.60 | Avg Loss: 122.8579 | Time: 6.86s
Episodes: 14400 | Avg Return: -495.79 | Avg Loss: 122.2946 | Time: 7.22s
Episodes: 14500 | Avg Return: -571.96 | Avg Loss: 122.2018 | Time: 6.99s
Episodes: 14600 | Avg Return: -597.16 | Avg Loss: 122.3987 | Time: 7.02s
Episodes: 14700 | Avg Return: -600.32 | Avg Loss: 122.1680 | Time: 6.88s
Episodes: 14800 | Avg Return: -461.81 | Avg Loss: 121.6896 | Time: 6.88s
Episodes: 14900 | Avg Return: -507.36 | Avg Loss: 121.4137 | Time: 7.11s
Episodes: 15000 | Avg Return: -483.88 | Avg Loss: 121.3973 | Time: 6.85s
Episodes: 15100 | Avg Return: -553.69 | Avg Loss: 121.6560 | Time: 7.04s
Episodes: 15200 | Avg Return: -509.44 | Avg Loss: 121.2685 | Time: 6.92s
Episodes: 15300 | Avg Return: -550.00 | Avg Loss: 120.7644 | Time: 7.03s
Episodes: 15400 | Avg Return: -499.42 | Avg Loss: 121.1406 | Time: 6.85s
Episodes: 15500 | Avg Return: -550.55 | Avg Loss: 120.6656 | Time: 6.78s
Episodes: 15600 | Avg Return: -526.33 | Avg Loss: 120.4163 | Time: 6.95s
Episodes: 15700 | Avg Return: -498.99 | Avg Loss: 120.1653 | Time: 6.99s
Episodes: 15800 | Avg Return: -542.68 | Avg Loss: 119.6174 | Time: 6.88s
Episodes: 15900 | Avg Return: -484.65 | Avg Loss: 119.8859 | Time: 6.87s
Episodes: 16000 | Avg Return: -510.54 | Avg Loss: 119.7881 | Time: 6.74s
Episodes: 16100 | Avg Return: -460.89 | Avg Loss: 119.7156 | Time: 6.87s
Episodes: 16200 | Avg Return: -510.30 | Avg Loss: 119.5169 | Time: 6.85s
Episodes: 16300 | Avg Return: -428.77 | Avg Loss: 119.5396 | Time: 7.02s
Episodes: 16400 | Avg Return: -474.45 | Avg Loss: 119.1548 | Time: 6.87s
Episodes: 16500 | Avg Return: -514.61 | Avg Loss: 119.0245 | Time: 6.84s
Episodes: 16600 | Avg Return: -528.47 | Avg Loss: 118.6396 | Time: 6.84s
Episodes: 16700 | Avg Return: -465.94 | Avg Loss: 118.8834 | Time: 6.80s
Episodes: 16800 | Avg Return: -519.32 | Avg Loss: 118.8150 | Time: 6.78s
Episodes: 16900 | Avg Return: -509.46 | Avg Loss: 118.6005 | Time: 6.94s
Episodes: 17000 | Avg Return: -482.13 | Avg Loss: 118.6753 | Time: 6.86s
Episodes: 17100 | Avg Return: -536.35 | Avg Loss: 118.2823 | Time: 7.01s
Episodes: 17200 | Avg Return: -562.13 | Avg Loss: 118.2044 | Time: 6.96s
Episodes: 17300 | Avg Return: -483.64 | Avg Loss: 118.0213 | Time: 7.06s
