Ray cluster started. Available resources: {'GPU': 1.0, 'node:172.23.48.184': 1.0, 'memory': 9198943847.0, 'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'CPU': 12.0, 'object_store_memory': 3942404505.0}
Waiting for actors to initialize and run one episode...
[36m(DataActor pid=7609)[0m (DataActor pid=7609) Initializing on CPU...
[36m(DataActor pid=7609)[0m (DataActor pid=7609) Setup complete.
[36m(LearnerActor pid=7614)[0m (Learner pid=7614) Initializing on GPU...
[36m(LearnerActor pid=7614)[0m (Learner pid=7614) Setup complete.
[36m(DataActor pid=7617)[0m (DataActor pid=7617) Initializing on CPU...[32m [repeated 5x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
[36m(DataActor pid=7617)[0m (DataActor pid=7617) Setup complete.[32m [repeated 5x across cluster][0m

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Starting main training loop.
Episodes: 18100 | Avg Return: -493.11 | Avg Loss: 118.5117 | Time: 6.93s
Episodes: 18200 | Avg Return: -509.36 | Avg Loss: 118.3443 | Time: 6.54s
Episodes: 18300 | Avg Return: -470.60 | Avg Loss: 118.2088 | Time: 6.68s
Episodes: 18400 | Avg Return: -489.73 | Avg Loss: 117.9502 | Time: 6.79s
Episodes: 18500 | Avg Return: -493.51 | Avg Loss: 118.5081 | Time: 6.73s
Episodes: 18600 | Avg Return: -463.22 | Avg Loss: 118.4981 | Time: 6.63s
Episodes: 18700 | Avg Return: -424.34 | Avg Loss: 118.1492 | Time: 6.76s
Episodes: 18800 | Avg Return: -565.27 | Avg Loss: 117.9006 | Time: 6.71s
Episodes: 18900 | Avg Return: -560.20 | Avg Loss: 117.7077 | Time: 6.63s
Episodes: 19000 | Avg Return: -565.70 | Avg Loss: 117.5950 | Time: 6.77s
Episodes: 19100 | Avg Return: -440.89 | Avg Loss: 118.0746 | Time: 7.06s
Episodes: 19200 | Avg Return: -441.01 | Avg Loss: 117.8619 | Time: 7.14s
Episodes: 19300 | Avg Return: -516.89 | Avg Loss: 117.2851 | Time: 8.03s
Episodes: 19400 | Avg Return: -497.33 | Avg Loss: 117.5632 | Time: 7.73s
Episodes: 19500 | Avg Return: -504.51 | Avg Loss: 117.6056 | Time: 7.87s
Episodes: 19600 | Avg Return: -465.04 | Avg Loss: 117.3085 | Time: 7.01s
